 Q (1/Ang),Yb-Yb,Yb-Ti,Yb-O ,Ti-Ti,Ti-O ,O-O  
   1.27000 ,    -0.295004991072611E+01 ,    -0.142288018222614E+01 ,    -0.230586455826982E+00 ,    -0.289414479789327E+01 ,     0.132471045545297E+01 ,    -0.196753076355360E+01 , 
   1.28000 ,    -0.460371519436527E+01 ,    -0.865444831102378E+00 ,    -0.598154189950483E-01 ,    -0.474222863610449E+01 ,     0.119216563042499E+01 ,    -0.205464345380769E+01 , 
   1.29000 ,    -0.616980398653559E+01 ,    -0.313083617033686E+00 ,     0.795657772219312E-01 ,    -0.642237961704811E+01 ,     0.785027214869175E+00 ,    -0.199809113545402E+01 , 
   1.30000 ,    -0.733630600522857E+01 ,     0.171133395100138E+00 ,     0.165231137878511E+00 ,    -0.760132140010967E+01 ,     0.191866417763033E+00 ,    -0.181399704740250E+01 , 
   1.31000 ,    -0.790072735881292E+01 ,     0.556713075421914E+00 ,     0.189706895414487E+00 ,    -0.808078934994724E+01 ,    -0.454683000572323E+00 ,    -0.155029230535559E+01 , 
   1.32000 ,    -0.779898957281050E+01 ,     0.831890364184074E+00 ,     0.159080305411007E+00 ,    -0.782378850703179E+01 ,    -0.100752999746810E+01 ,    -0.127427641134766E+01 , 
   1.33000 ,    -0.710582608847172E+01 ,     0.989742169353258E+00 ,     0.891871265068946E-01 ,    -0.694721784560328E+01 ,    -0.133905370646723E+01 ,    -0.105555571179331E+01 , 
   1.34000 ,    -0.600885920597523E+01 ,     0.102022830350772E+01 ,     0.540053605761058E-03 ,    -0.568509821619052E+01 ,    -0.137132979683785E+01 ,    -0.948635414202905E+00 , 
   1.35000 ,    -0.476312957647600E+01 ,     0.910973064340377E+00 ,    -0.866928738399253E-01 ,    -0.433183771273231E+01 ,    -0.109529329751937E+01 ,    -0.979471526716957E+00 , 
   1.36000 ,    -0.363594145590102E+01 ,     0.655826202978464E+00 ,    -0.156601995053267E+00 ,    -0.317803499076753E+01 ,    -0.573965564995773E+00 ,    -0.113926340544595E+01 , 
   1.37000 ,    -0.285302921201208E+01 ,     0.267049873533924E+00 ,    -0.199730979938796E+00 ,    -0.245183546515263E+01 ,     0.713814306943493E-01 ,    -0.138694741177222E+01 , 
   1.38000 ,    -0.255615109879452E+01 ,    -0.214657395352136E+00 ,    -0.213450781587372E+00 ,    -0.227688929447978E+01 ,     0.689145483599939E+00 ,    -0.165969119783468E+01 , 
   1.39000 ,    -0.277953740380683E+01 ,    -0.717690120202409E+00 ,    -0.200850061768542E+00 ,    -0.265403627530703E+01 ,     0.113295797006972E+01 ,    -0.188871946937844E+01 , 
   1.40000 ,    -0.344871940753829E+01 ,    -0.114771502942791E+01 ,    -0.168754368652792E+00 ,    -0.346881236839049E+01 ,     0.129648832833461E+01 ,    -0.201650735813258E+01 , 
   1.41000 ,    -0.440089081375168E+01 ,    -0.140610956873842E+01 ,    -0.125554660026202E+00 ,    -0.452174140271026E+01 ,     0.113913145615661E+01 ,    -0.201106953179945E+01 , 
   1.42000 ,    -0.542190911916949E+01 ,    -0.141465094578019E+01 ,    -0.794044550689078E-01 ,    -0.557411252038943E+01 ,     0.696292746415218E+00 ,    -0.187382040662062E+01 , 
   1.43000 ,    -0.629205357249915E+01 ,    -0.113981374924330E+01 ,    -0.370982657226639E-01 ,    -0.639930667079376E+01 ,     0.716107224095218E-01 ,    -0.163909241928995E+01 , 
   1.44000 ,    -0.683123682688543E+01 ,    -0.609241888629582E+00 ,    -0.366153971214611E-02 ,    -0.682914228778322E+01 ,    -0.587224698020439E+00 ,    -0.136547331856352E+01 , 
   1.45000 ,    -0.693474484879712E+01 ,     0.856426432824911E-01 ,     0.175479127450009E-01 ,    -0.678617955633586E+01 ,    -0.112342887588023E+01 ,    -0.112114659170888E+01 , 
   1.46000 ,    -0.659265046490643E+01 ,     0.803614583859981E+00 ,     0.245429175635325E-01 ,    -0.629608652300638E+01 ,    -0.140856716072204E+01 ,    -0.966893353259385E+00 , 
   1.47000 ,    -0.588939675418946E+01 ,     0.138251464809209E+01 ,     0.165105477965825E-01 ,    -0.547835739394941E+01 ,    -0.137351576563161E+01 ,    -0.940978537455972E+00 , 
   1.48000 ,    -0.498402857999070E+01 ,     0.167699810819720E+01 ,    -0.612015528534126E-02 ,    -0.451804352088817E+01 ,    -0.102544097558869E+01 ,    -0.104966361561542E+01 , 
   1.49000 ,    -0.407539724265060E+01 ,     0.159611889528855E+01 ,    -0.413716639591762E-01 ,    -0.362486276653918E+01 ,    -0.446596617132269E+00 ,    -0.126568457965937E+01 , 
   1.50000 ,    -0.335963110584252E+01 ,     0.113089608484117E+01 ,    -0.853707803477549E-01 ,    -0.298839529128793E+01 ,     0.224919091166585E+00 ,    -0.153505663676644E+01 , 
   1.51000 ,    -0.298867414372181E+01 ,     0.363789032563698E+00 ,    -0.132251011619216E+00 ,    -0.273863251821669E+01 ,     0.827961305040967E+00 ,    -0.179050526856881E+01 , 
   1.52000 ,    -0.303844150401038E+01 ,    -0.543930690540855E+00 ,    -0.174568657901167E+00 ,    -0.291985100313617E+01 ,     0.121690562921990E+01 ,    -0.196818592722556E+01 , 
   1.53000 ,    -0.349316413261783E+01 ,    -0.138550851086159E+01 ,    -0.204354031788443E+00 ,    -0.348292240117536E+01 ,     0.129675024227364E+01 ,    -0.202354493913941E+01 , 
   1.54000 ,    -0.424917240121184E+01 ,    -0.195590671762188E+01 ,    -0.214700407039084E+00 ,    -0.429733214401100E+01 ,     0.104628400732114E+01 ,    -0.194239076818464E+01 , 
   1.55000 ,    -0.513735589207381E+01 ,    -0.210201451037859E+01 ,    -0.201566642367946E+00 ,    -0.518013464666017E+01 ,     0.523662618607479E+00 ,    -0.174443300780692E+01 , 
   1.56000 ,    -0.595963968884709E+01 ,    -0.176350099440916E+01 ,    -0.165311050507043E+00 ,    -0.593562863130093E+01 ,    -0.147071257435379E+00 ,    -0.147841215292424E+01 , 
   1.57000 ,    -0.653183770528158E+01 ,    -0.993493268748104E+00 ,    -0.111445143654572E+00 ,    -0.639737795615904E+01 ,    -0.805412262614745E+00 ,    -0.121002525783016E+01 , 
   1.58000 ,    -0.672381325958453E+01 ,     0.473552721587336E-01 ,    -0.502231909820346E-01 ,    -0.646376152600948E+01 ,    -0.129279167848396E+01 ,    -0.100563664105786E+01 , 
   1.59000 ,    -0.648832540655534E+01 ,     0.112358008139715E+01 ,     0.505092693268550E-02 ,    -0.611960002640483E+01 ,    -0.149077596953200E+01 ,    -0.915807937296876E+00 , 
   1.60000 ,    -0.587221440902325E+01 ,     0.197791674271063E+01 ,     0.407753080770889E-01 ,    -0.543930584168314E+01 ,    -0.134987504950639E+01 ,    -0.962729276103675E+00 , 
   1.61000 ,    -0.500724593655969E+01 ,     0.239271182542129E+01 ,     0.463057606074290E-01 ,    -0.457085306765468E+01 ,    -0.901966903070519E+00 ,    -0.113467056274073E+01 , 
   1.62000 ,    -0.408225066127033E+01 ,     0.224509592886125E+01 ,     0.169398165028656E-01 ,    -0.370388583818402E+01 ,    -0.253236592625266E+00 ,    -0.138883565501532E+01 , 
   1.63000 ,    -0.330226339553489E+01 ,     0.154202627497477E+01 ,    -0.441846879366229E-01 ,    -0.302864940348974E+01 ,     0.440810597882541E+00 ,    -0.166192105705576E+01 , 
   1.64000 ,    -0.284330822196550E+01 ,     0.425524263861406E+00 ,    -0.125912270046834E+00 ,    -0.269443524020027E+01 ,     0.101238523955944E+01 ,    -0.188576909752950E+01 , 
   1.65000 ,    -0.281262974256117E+01 ,    -0.854749320324366E+00 ,    -0.210879468532146E+00 ,    -0.277644187579001E+01 ,     0.132168877023609E+01 ,    -0.200423722575481E+01 , 
   1.66000 ,    -0.322323380665927E+01 ,    -0.199657848909369E+01 ,    -0.279093001583415E+00 ,    -0.325829244576440E+01 ,     0.129077879136835E+01 ,    -0.198709597795932E+01 , 
   1.67000 ,    -0.398871179508821E+01 ,    -0.271591252158837E+01 ,    -0.312575400593380E+00 ,    -0.403422999980990E+01 ,     0.922846216310220E+00 ,    -0.183749781107088E+01 , 
   1.68000 ,    -0.494004505442278E+01 ,    -0.281678031905992E+01 ,    -0.300023277752321E+00 ,    -0.493087574483687E+01 ,     0.302165789371591E+00 ,    -0.159114985560050E+01 , 
   1.69000 ,    -0.586130510648296E+01 ,    -0.224333916219213E+01 ,    -0.240303595652162E+00 ,    -0.574423450158742E+01 ,    -0.425421106326049E+00 ,    -0.130738402529267E+01 , 
   1.70000 ,    -0.653690624476277E+01 ,    -0.110050899008381E+01 ,    -0.143782149697392E+00 ,    -0.628425230231871E+01 ,    -0.108697097298696E+01 ,    -0.105433793054981E+01 , 
   1.71000 ,    -0.680027873207605E+01 ,     0.363384299266729E+00 ,    -0.309212989149873E-01 ,    -0.641741148554070E+01 ,    -0.152371833076677E+01 ,    -0.891937179605784E+00 , 
   1.72000 ,    -0.657317535311891E+01 ,     0.180963470556245E+01 ,     0.717853123605003E-01 ,    -0.609801914258459E+01 ,    -0.162934733655553E+01 ,    -0.856933372748898E+00 , 
   1.73000 ,    -0.588652200090980E+01 ,     0.288677393139598E+01 ,     0.137796470854825E+00 ,    -0.538102727000354E+01 ,    -0.137607238763960E+01 ,    -0.953756508815050E+00 , 
   1.74000 ,    -0.487748763404846E+01 ,     0.331521477658045E+01 ,     0.147124354086370E+00 ,    -0.441301293545643E+01 ,    -0.822181413283880E+00 ,    -0.115350215394220E+01 , 
   1.75000 ,    -0.376252967624766E+01 ,     0.295879873014845E+01 ,     0.919662977933793E-01 ,    -0.340258431598456E+01 ,    -0.990635532875996E-01 ,    -0.140134461164829E+01 , 
   1.76000 ,    -0.279149951152658E+01 ,     0.186529835703530E+01 ,    -0.201359643767155E-01 ,    -0.257599732781104E+01 ,     0.619387546743882E+00 ,    -0.163054960240137E+01 , 
   1.77000 ,    -0.219230519591695E+01 ,     0.264516507061977E+00 ,    -0.166647442874031E+00 ,    -0.212719314605623E+01 ,     0.115788655038342E+01 ,    -0.177958243497450E+01 , 
   1.78000 ,    -0.211811675914973E+01 ,    -0.147774355468741E+01 ,    -0.314170783830208E+00 ,    -0.217302362991495E+01 ,     0.138171666525657E+01 ,    -0.180799467129059E+01 , 
   1.79000 ,    -0.260903856349410E+01 ,    -0.294105443219759E+01 ,    -0.425715966253257E+00 ,    -0.272371576578358E+01 ,     0.122958048533652E+01 ,    -0.170703704865548E+01 , 
   1.80000 ,    -0.357747346333207E+01 ,    -0.374938569682516E+01 ,    -0.469626178239595E+00 ,    -0.367570596851716E+01 ,     0.729449156039576E+00 ,    -0.150223547931065E+01 , 
   1.81000 ,    -0.482155122903274E+01 ,    -0.366493396180954E+01 ,    -0.428116829971111E+00 ,    -0.482939404040455E+01 ,    -0.654044104441040E-02 ,    -0.124717015927372E+01 , 
   1.82000 ,    -0.606496696517430E+01 ,    -0.265397035201482E+01 ,    -0.303268960611043E+00 ,    -0.592904569078575E+01 ,    -0.807190929990082E+00 ,    -0.100992211832812E+01 , 
   1.83000 ,    -0.701564892000359E+01 ,    -0.907368106008776E+00 ,    -0.118717939577787E+00 ,    -0.671712751437015E+01 ,    -0.148169257335352E+01 ,    -0.855541090326167E+00 , 
   1.84000 ,    -0.743115324923457E+01 ,     0.119169431695377E+01 ,     0.838537199871346E-01 ,    -0.699186856611956E+01 ,    -0.186434053848532E+01 ,    -0.828962263485513E+00 , 
