Structure file path : glass_ceramic.cif
List of environment information
Species : Li
Envtype : both
Site index 76: {'frac_coords': array([0.1659, 0.5435, 0.6882]), 'type': 'tet', 'csm': 7.147025010030483, 'volume': 5.779408027312069}
Site index 77: {'frac_coords': array([0.0888, 0.5885, 0.6731]), 'type': 'tribip', 'csm': 3.741498474290217, 'volume': 11.80348600366474}
Site index 78: {'frac_coords': array([0.1499, 0.5153, 0.6047]), 'type': 'tet', 'csm': 7.0221280519936355, 'volume': 5.89183257244704}
Site index 79: {'frac_coords': array([0.0297, 0.5828, 0.5986]), 'type': 'tet', 'csm': 3.702374332322355, 'volume': 7.006883414194258}
Site index 80: {'frac_coords': array([0.0233, 0.5669, 0.9678]), 'type': 'oct', 'csm': 6.167702362081521, 'volume': 23.850002374325893}
Site index 81: {'frac_coords': array([0.0821, 0.5732, 0.8963]), 'type': 'tet', 'csm': 6.414260428697351, 'volume': 6.553209536262793}
Site index 82: {'frac_coords': array([0.1673, 0.5135, 0.8377]), 'type': 'tribip', 'csm': 3.1615341631449896, 'volume': 11.97169648378518}
Site index 83: {'frac_coords': array([0.2098, 0.6414, 0.042 ]), 'type': 'tet', 'csm': 4.09914746637137, 'volume': 5.535298819955598}
Site index 84: {'frac_coords': array([0.0396, 0.6607, 0.2021]), 'type': 'tet', 'csm': 1.6824162232012039, 'volume': 4.519308611541487}
Site index 85: {'frac_coords': array([0.1605, 0.6221, 0.2264]), 'type': 'tet', 'csm': 17.33105822308331, 'volume': 4.847477455914522}
Site index 86: {'frac_coords': array([0.0383, 0.6774, 0.0913]), 'type': 'tribip', 'csm': 7.218085500652129, 'volume': 13.394002133103703}
Site index 87: {'frac_coords': array([0.2115, 0.6391, 0.2994]), 'type': 'tet', 'csm': 1.4201033218822683, 'volume': 4.5009186523275275}
Site index 88: {'frac_coords': array([0.084 , 0.6633, 0.2961]), 'type': 'tet', 'csm': 1.9634522505800218, 'volume': 4.336833906387138}
Site index 89: {'frac_coords': array([0.0871, 0.6876, 0.4094]), 'type': 'tribip', 'csm': 4.250124397691723, 'volume': 9.038258873811321}
Site index 90: {'frac_coords': array([0.0348, 0.6807, 0.3421]), 'type': 'tribip', 'csm': 9.407268508479529, 'volume': 10.868004962444507}
Site index 91: {'frac_coords': array([0.0415, 0.6682, 0.7123]), 'type': 'tet', 'csm': 5.1909854039834915, 'volume': 5.478176799043669}
Site index 92: {'frac_coords': array([0.1526, 0.6117, 0.5872]), 'type': 'tribip', 'csm': 7.196988000115553, 'volume': 11.519040395486105}
Site index 93: {'frac_coords': array([0.2115, 0.6101, 0.6662]), 'type': 'tribip', 'csm': 5.759473640438319, 'volume': 9.246399027405577}
Site index 94: {'frac_coords': array([0.206 , 0.6398, 0.7893]), 'type': 'oct', 'csm': 6.179625416513241, 'volume': 22.88607002895733}
Site index 95: {'frac_coords': array([0.0871, 0.6556, 0.7918]), 'type': 'tet', 'csm': 4.815022363669909, 'volume': 6.362802121548171}
Site index 96: {'frac_coords': array([0.1633, 0.6073, 0.846 ]), 'type': 'tribip', 'csm': 5.488447697473746, 'volume': 9.536690705271225}
Site index 97: {'frac_coords': array([0.0423, 0.7619, 0.2159]), 'type': 'tet', 'csm': 5.408056364017501, 'volume': 6.060852344714424}
Site index 98: {'frac_coords': array([0.0781, 0.7696, 0.0266]), 'type': 'oct', 'csm': 5.7659821062348176, 'volume': 21.454198470610297}
Site index 99: {'frac_coords': array([0.2155, 0.7144, 0.1696]), 'type': 'tribip', 'csm': 6.971619802687896, 'volume': 11.894731588840047}
Site index 100: {'frac_coords': array([0.1533, 0.7292, 0.4695]), 'type': 'tet', 'csm': 6.565986005910701, 'volume': 6.049267969125156}
Site index 101: {'frac_coords': array([0.0842, 0.7862, 0.4094]), 'type': 'tribip', 'csm': 5.286506611271387, 'volume': 10.712785152176918}
Site index 102: {'frac_coords': array([0.2112, 0.7133, 0.4085]), 'type': 'tribip', 'csm': 6.35437112972507, 'volume': 11.874957073121779}
Site index 103: {'frac_coords': array([0.2105, 0.7374, 0.5358]), 'type': 'tet', 'csm': 4.9256640184916805, 'volume': 6.066032498963457}
Site index 104: {'frac_coords': array([0.0462, 0.7693, 0.712 ]), 'type': 'tet', 'csm': 5.570649223075589, 'volume': 5.607244605071356}
Site index 105: {'frac_coords': array([0.1539, 0.7151, 0.5757]), 'type': 'tribip', 'csm': 7.91987295865548, 'volume': 11.813437919794612}
Site index 106: {'frac_coords': array([0.2095, 0.7116, 0.6628]), 'type': 'tribip', 'csm': 4.06156412209123, 'volume': 11.04799721550723}
Site index 107: {'frac_coords': array([0.0393, 0.7907, 0.833 ]), 'type': 'tribip', 'csm': 5.837866503933471, 'volume': 9.740833793719327}
Site index 108: {'frac_coords': array([0.211 , 0.7116, 0.9265]), 'type': 'tet', 'csm': 7.084332250883629, 'volume': 5.852215275196773}
Site index 109: {'frac_coords': array([0.2152, 0.8372, 0.0309]), 'type': 'tet', 'csm': 3.7345740774668164, 'volume': 7.2725963465736765}
Site index 110: {'frac_coords': array([0.1677, 0.812 , 0.0889]), 'type': 'tribip', 'csm': 2.8582892051817446, 'volume': 11.524736798388949}
Site index 111: {'frac_coords': array([0.2117, 0.8118, 0.1667]), 'type': 'tet', 'csm': 4.116507581154952, 'volume': 5.057136292611995}
Site index 112: {'frac_coords': array([0.1639, 0.8293, 0.4646]), 'type': 'tet', 'csm': 4.706051989401682, 'volume': 4.771620816680189}
Site index 113: {'frac_coords': array([0.0831, 0.8655, 0.2747]), 'type': 'tet', 'csm': 6.1950684101755975, 'volume': 5.729108795229806}
Site index 114: {'frac_coords': array([0.0325, 0.8872, 0.3361]), 'type': 'tribip', 'csm': 3.4148331202221756, 'volume': 10.945344764358682}
Site index 115: {'frac_coords': array([0.2225, 0.8349, 0.5391]), 'type': 'tribip', 'csm': 8.221245985735443, 'volume': 9.70198027807349}
Site index 116: {'frac_coords': array([0.0818, 0.8592, 0.5497]), 'type': 'tet', 'csm': 8.556715360890763, 'volume': 5.88994591995757}
Site index 117: {'frac_coords': array([0.0424, 0.8899, 0.5829]), 'type': 'tribip', 'csm': 4.567877829449894, 'volume': 11.31689967840692}
Site index 118: {'frac_coords': array([0.1634, 0.8426, 0.9538]), 'type': 'tet', 'csm': 4.580378004159223, 'volume': 5.365209179935064}
Site index 119: {'frac_coords': array([0.1601, 0.8114, 0.8253]), 'type': 'tet', 'csm': 4.529965992048988, 'volume': 5.040530124661363}
Site index 120: {'frac_coords': array([0.0406, 0.8864, 0.8275]), 'type': 'tet', 'csm': 10.688149140671966, 'volume': 5.184857652589658}
Site index 121: {'frac_coords': array([0.1691, 0.9365, 0.2165]), 'type': 'tet', 'csm': 1.3538859469465294, 'volume': 4.854247796619025}
Site index 122: {'frac_coords': array([0.0256, 0.9848, 0.0821]), 'type': 'tribip', 'csm': 8.875626205036987, 'volume': 10.595914634044576}
Site index 123: {'frac_coords': array([0.2151, 0.9615, 0.3155]), 'type': 'oct', 'csm': 11.178349159692551, 'volume': 23.304153552640997}
Site index 124: {'frac_coords': array([0.0779, 0.9896, 0.4188]), 'type': 'tet', 'csm': 4.820525997493753, 'volume': 5.700490434090157}
Site index 125: {'frac_coords': array([0.1626, 0.9142, 0.3504]), 'type': 'tet', 'csm': 7.11358481444482, 'volume': 5.5486557016737565}
Site index 126: {'frac_coords': array([0.0423, 0.9946, 0.3265]), 'type': 'tribip', 'csm': 9.857861824577176, 'volume': 9.585746815035037}
Site index 127: {'frac_coords': array([0.0434, 0.9671, 0.7171]), 'type': 'tet', 'csm': 4.211897243205636, 'volume': 7.476518542388712}
Site index 128: {'frac_coords': array([0.213     , 0.9084    , 0.66666667]), 'type': 'tribip', 'csm': 4.471162938774871, 'volume': 10.36770692123882}
Site index 129: {'frac_coords': array([0.2203, 0.9411, 0.7913]), 'type': 'tribip', 'csm': 6.607546089036573, 'volume': 11.669965934564669}
Site index 130: {'frac_coords': array([0.1651, 0.9402, 0.9667]), 'type': 'tribip', 'csm': 3.6947870120065174, 'volume': 9.172020000784928}
Site index 131: {'frac_coords': array([0.0821, 0.9602, 0.7972]), 'type': 'tribip', 'csm': 9.746776278031103, 'volume': 11.022088026661784}
Site index 132: {'frac_coords': array([0.0843, 0.9885, 0.919 ]), 'type': 'tet', 'csm': 3.2279668697363326, 'volume': 6.104051562162365}
Site index 133: {'frac_coords': array([0.0403, 0.9779, 0.8421]), 'type': 'tet', 'csm': 4.179820600771156, 'volume': 5.55376278005165}
Site index 134: {'frac_coords': array([0.462 , 0.0439, 0.0487]), 'type': 'tribip', 'csm': 2.964668333305754, 'volume': 15.284035352877979}
Site index 135: {'frac_coords': array([0.3449, 0.0934, 0.1642]), 'type': 'tribip', 'csm': 7.030866586280241, 'volume': 9.47645121219805}
Site index 136: {'frac_coords': array([0.4654, 0.0311, 0.288 ]), 'type': 'tet', 'csm': 5.022914331112459, 'volume': 6.157535699709614}
Site index 137: {'frac_coords': array([0.2879, 0.0636, 0.4518]), 'type': 'tet', 'csm': 5.39462571586007, 'volume': 5.858845014225257}
Site index 138: {'frac_coords': array([0.3429, 0.0554, 0.2852]), 'type': 'tribip', 'csm': 9.456260553159376, 'volume': 11.402947441622537}
Site index 139: {'frac_coords': array([0.4261, 0.0041, 0.3347]), 'type': 'oct', 'csm': 5.794475131251711, 'volume': 28.044286716478652}
Site index 140: {'frac_coords': array([0.3418, 0.0709, 0.7809]), 'type': 'tribip', 'csm': 9.286150296033929, 'volume': 9.690088983825623}
Site index 141: {'frac_coords': array([0.2917, 0.0912, 0.8303]), 'type': 'tribip', 'csm': 3.7323113610519494, 'volume': 9.491189967888522}
Site index 142: {'frac_coords': array([0.298 , 0.1638, 0.2204]), 'type': 'tet', 'csm': 5.844858952531614, 'volume': 4.941233428514375}
