Time       moves_acc moves_gen     G(r)_1     S(Q)_1     Bragg   Tail_fine
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01
035121.787     2166150    14900498  0.992E-03  0.147E-02  0.290E-01  0.215E+06
040121.924     2169690    14941878  0.992E-03  0.146E-02  0.290E-01  0.192E+06
041121.770     2173276    14983562  0.992E-03  0.145E-02  0.290E-01  0.204E+06
042121.716     2176868    15025055  0.988E-03  0.144E-02  0.290E-01  0.225E+06
043121.953     2180492    15067166  0.982E-03  0.144E-02  0.290E-01  0.107E+06
044121.769     2183974    15108627  0.978E-03  0.143E-02  0.290E-01  0.175E+06
045121.822     2187432    15149902  0.975E-03  0.142E-02  0.290E-01  0.150E+06
050121.696     2190917    15192156  0.972E-03  0.141E-02  0.290E-01  0.134E+06
051121.784     2194472    15233580  0.972E-03  0.140E-02  0.290E-01  0.220E+06
052121.905     2198036    15274992  0.971E-03  0.139E-02  0.290E-01  0.156E+06
053121.748     2201719    15316686  0.972E-03  0.138E-02  0.290E-01  0.178E+06
054122.113     2205231    15357581  0.116E-02  0.157E-02  0.290E-01  0.156E+06
055121.910     2208644    15397605  0.969E-03  0.137E-02  0.290E-01  0.158E+06
060121.720     2212107    15438443  0.965E-03  0.136E-02  0.290E-01  0.184E+06
061121.902     2215701    15479980  0.962E-03  0.135E-02  0.290E-01  0.181E+06
062121.958     2219134    15521311  0.961E-03  0.135E-02  0.290E-01  0.146E+06
063121.975     2222601    15562462  0.955E-03  0.134E-02  0.290E-01  0.183E+06
064121.908     2226128    15604116  0.954E-03  0.133E-02  0.290E-01  0.161E+06
065121.914     2229674    15645763  0.952E-03  0.132E-02  0.290E-01  0.109E+06
070121.725     2233063    15687355  0.951E-03  0.132E-02  0.290E-01  0.234E+06
071121.892     2236590    15728475  0.948E-03  0.131E-02  0.290E-01  0.146E+06
072121.923     2240067    15769883  0.944E-03  0.130E-02  0.290E-01  0.114E+06
073121.717     2243449    15811195  0.937E-03  0.130E-02  0.290E-01  0.217E+06
074121.897     2246919    15852165  0.936E-03  0.129E-02  0.290E-01  0.199E+06
075121.899     2250474    15893586  0.933E-03  0.128E-02  0.290E-01  0.161E+06
080121.848     2253912    15934764  0.933E-03  0.127E-02  0.290E-01  0.150E+06
081121.894     2257355    15976606  0.927E-03  0.127E-02  0.290E-01  0.111E+06
082121.963     2260825    16018219  0.925E-03  0.126E-02  0.290E-01  0.178E+06
083121.968     2264361    16059775  0.924E-03  0.125E-02  0.290E-01  0.102E+06
084121.908     2267733    16101184  0.921E-03  0.125E-02  0.290E-01  0.242E+06
085121.917     2271102    16142510  0.922E-03  0.124E-02  0.290E-01  0.161E+06
090121.894     2274661    16184149  0.917E-03  0.123E-02  0.290E-01  0.157E+06
091121.733     2278191    16225661  0.914E-03  0.122E-02  0.290E-01  0.213E+06
092121.969     2281626    16266230  0.912E-03  0.121E-02  0.290E-01  0.178E+06
093121.738     2285093    16307045  0.910E-03  0.121E-02  0.290E-01  0.150E+06
094121.723     2288514    16348664  0.914E-03  0.120E-02  0.290E-01  0.224E+06
095121.920     2291945    16389771  0.911E-03  0.119E-02  0.290E-01  0.209E+06
100121.913     2295449    16431072  0.909E-03  0.118E-02  0.290E-01  0.139E+06
101121.853     2298959    16472522  0.908E-03  0.118E-02  0.290E-01  0.152E+06
102121.924     2302434    16513614  0.906E-03  0.117E-02  0.290E-01  0.133E+06
103121.911     2306136    16556050  0.906E-03  0.116E-02  0.290E-01  0.171E+06
104121.897     2309673    16597670  0.905E-03  0.115E-02  0.290E-01  0.149E+06
105121.920     2313167    16638573  0.903E-03  0.115E-02  0.290E-01  0.223E+06
110121.926     2316671    16679659  0.902E-03  0.114E-02  0.290E-01  0.200E+06
111121.741     2320199    16720462  0.901E-03  0.113E-02  0.290E-01  0.235E+06
112121.898     2323783    16761984  0.898E-03  0.112E-02  0.290E-01  0.148E+06
113121.903     2327153    16801965  0.894E-03  0.112E-02  0.290E-01  0.109E+06
114121.892     2330626    16843461  0.889E-03  0.111E-02  0.290E-01  0.157E+06
115121.898     2334119    16884935  0.888E-03  0.110E-02  0.290E-01  0.163E+06
120121.961     2337590    16925843  0.885E-03  0.110E-02  0.290E-01  0.242E+06
121121.915     2340943    16966985  0.886E-03  0.109E-02  0.290E-01  0.107E+06
122121.898     2344251    17007337  0.887E-03  0.108E-02  0.290E-01  0.357E+06
123121.900     2347588    17048429  0.885E-03  0.108E-02  0.290E-01  0.178E+06
124121.966     2351029    17089531  0.885E-03  0.107E-02  0.290E-01  0.163E+06
125121.960     2354381    17130134  0.882E-03  0.107E-02  0.290E-01  0.226E+06
