 Q (1/Ang),Yb-Yb,Yb-Ti,Yb-Sn,Yb-O ,Ti-Ti,Ti-Sn,Ti-O ,Sn-Sn,Sn-O ,O-O  
   1.21000 ,    -0.279754988625178E+01 ,    -0.370866367332794E+00 ,    -0.524607090813679E+00 ,    -0.990751780111856E-01 ,    -0.295850680471051E+01 ,    -0.294574574611507E+01 ,    -0.968283199573386E+00 ,    -0.293356204209122E+01 ,    -0.122775404049550E+01 ,    -0.874190047243487E+00 , 
   1.22000 ,    -0.118968041178357E+01 ,    -0.114057928687884E+01 ,    -0.129077316779750E+01 ,    -0.193732808537136E+00 ,    -0.121903531032841E+01 ,    -0.127108206591510E+01 ,    -0.259729698385332E+00 ,    -0.122335763959191E+01 ,    -0.550828599239924E+00 ,    -0.109182443977745E+01 , 
   1.23000 ,    -0.696237886339067E+00 ,    -0.153804210866907E+01 ,    -0.166193202095450E+01 ,    -0.235434671993332E+00 ,    -0.600625719033365E+00 ,    -0.711127511560890E+00 ,     0.552314176513510E+00 ,    -0.637491350213310E+00 ,     0.209066065003364E+00 ,    -0.142128123802126E+01 , 
   1.24000 ,    -0.126896633796735E+01 ,    -0.164301629584576E+01 ,    -0.172365632545266E+01 ,    -0.229872754809222E+00 ,    -0.107718696052572E+01 ,    -0.123275909735204E+01 ,     0.127783636518565E+01 ,    -0.114120246763312E+01 ,     0.876530681320149E+00 ,    -0.177712845503410E+01 , 
   1.25000 ,    -0.265566875882605E+01 ,    -0.154816024874890E+01 ,    -0.157773791979183E+01 ,    -0.189119386724617E+00 ,    -0.241336751236587E+01 ,    -0.259733155605237E+01 ,     0.174342072426613E+01 ,    -0.249141127816241E+01 ,     0.129399034588807E+01 ,    -0.206823767504166E+01 , 
   1.26000 ,    -0.447269434339356E+01 ,    -0.132442139426522E+01 ,    -0.130540706050802E+01 ,    -0.127593081756268E+00 ,    -0.423346181443584E+01 ,    -0.442951709741692E+01 ,     0.183517772477489E+01 ,    -0.430742046769679E+01 ,     0.136043006083555E+01 ,    -0.222089981095770E+01 , 
   1.27000 ,    -0.629379571304123E+01 ,    -0.100814379288177E+01 ,    -0.952026079415832E+00 ,    -0.589167209787769E-01 ,    -0.610845186894492E+01 ,    -0.630340811573518E+01 ,     0.152801021363892E+01 ,    -0.615917163733943E+01 ,     0.105732354980182E+01 ,    -0.219728694204620E+01 , 
   1.28000 ,    -0.773766401052327E+01 ,    -0.609129264105749E+00 ,    -0.533096501632042E+00 ,     0.592457822829634E-02 ,    -0.764404261379710E+01 ,    -0.782904191688488E+01 ,     0.893467588464152E+00 ,    -0.765560860790453E+01 ,     0.454849123817988E+00 ,    -0.200467163369710E+01 , 
   1.29000 ,    -0.853819653514971E+01 ,    -0.132192536407430E+00 ,    -0.546241694199986E-01 ,     0.591673266448169E-01 ,    -0.855375553509834E+01 ,    -0.872383800951918E+01 ,     0.837411963032026E-01 ,    -0.851711486675522E+01 ,    -0.303661201030097E+00 ,    -0.169317631856839E+01 , 
   1.30000 ,    -0.858602778394557E+01 ,     0.398962579552965E+00 ,     0.463049250252652E+00 ,     0.959721969169743E-01 ,    -0.870504599486210E+01 ,    -0.885735844962902E+01 ,    -0.704641273711917E+00 ,    -0.862013020787066E+01 ,    -0.103562834220015E+01 ,    -0.134272445488528E+01 , 
   1.31000 ,    -0.793605395040314E+01 ,     0.926591894894764E+00 ,     0.969003928355347E+00 ,     0.113770020232178E+00 ,    -0.813214684602304E+01 ,    -0.826344897719284E+01 ,    -0.127867703426751E+01 ,    -0.800799374231794E+01 ,    -0.156338527829321E+01 ,    -0.104257222998955E+01 , 
   1.32000 ,    -0.678236702754658E+01 ,     0.135983874141707E+01 ,     0.138073826593502E+01 ,     0.111723700431880E+00 ,    -0.701580198230031E+01 ,    -0.712010478832191E+01 ,    -0.149651737040381E+01 ,    -0.686864399361140E+01 ,    -0.175776870752304E+01 ,    -0.868637825199092E+00 , 
   1.33000 ,    -0.540795485820186E+01 ,     0.159312050207661E+01 ,     0.160028710886132E+01 ,     0.905725598234868E-01 ,    -0.563607324810161E+01 ,    -0.570320787343351E+01 ,    -0.130297420974597E+01 ,    -0.548583594588102E+01 ,    -0.157029603088821E+01 ,    -0.864360176210992E+00 , 
   1.34000 ,    -0.412070235192429E+01 ,     0.153698794467164E+01 ,     0.154305913100980E+01 ,     0.528533690080835E-01 ,    -0.430895899342092E+01 ,    -0.432463190990846E+01 ,    -0.743906140679382E+00 ,    -0.417498356053851E+01 ,    -0.104578225658238E+01 ,    -0.102989069445790E+01 , 
   1.35000 ,    -0.318900963381194E+01 ,     0.115167372170838E+01 ,     0.117012457383417E+01 ,     0.325340766004637E-02 ,    -0.331993132699500E+01 ,    -0.326743385889098E+01 ,     0.443273061074109E-01 ,    -0.321690935230908E+01 ,    -0.312032306017501E+00 ,    -0.132229193464720E+01 , 
   1.36000 ,    -0.278955203922677E+01 ,     0.471787946174863E+00 ,     0.512728111566276E+00 ,    -0.512725342629560E-01 ,    -0.286736788931551E+01 ,    -0.273066926216651E+01 ,     0.867958971075396E+00 ,    -0.280241436606349E+01 ,     0.451076417420404E+00 ,    -0.166662866027809E+01 , 
   1.37000 ,    -0.297663720983563E+01 ,    -0.387522052337390E+00 ,    -0.320616150000268E+00 ,    -0.101956177378000E+00 ,    -0.302635206707997E+01 ,    -0.279392191500220E+01 ,     0.152341609632425E+01 ,    -0.299785982471113E+01 ,     0.105564580686325E+01 ,    -0.197509325773420E+01 , 
   1.38000 ,    -0.367794773214472E+01 ,    -0.124762665243542E+01 ,    -0.115937231509767E+01 ,    -0.139396779600052E+00 ,    -0.373897978402299E+01 ,    -0.340745158219928E+01 ,     0.184770198312116E+01 ,    -0.373746631827985E+01 ,     0.135212500434586E+01 ,    -0.216929789734406E+01 , 
   1.39000 ,    -0.471612682728377E+01 ,    -0.190460529774729E+01 ,    -0.180696331760821E+01 ,    -0.155358466053077E+00 ,    -0.483198497617752E+01 ,    -0.440874437272300E+01 ,     0.175904234827222E+01 ,    -0.484266728709912E+01 ,     0.126650434953256E+01 ,    -0.220009139365273E+01 , 
   1.40000 ,    -0.585068064848440E+01 ,    -0.217991228874526E+01 ,    -0.208939474803521E+01 ,    -0.144806381375641E+00 ,    -0.605718067697061E+01 ,    -0.556115206598794E+01 ,     0.127761708168262E+01 ,    -0.606361123435911E+01 ,     0.819033958385902E+00 ,    -0.205990804646623E+01 , 
   1.41000 ,    -0.683094342010612E+01 ,    -0.197037332926527E+01 ,    -0.190390912993318E+01 ,    -0.107628106312077E+00 ,    -0.714589172133492E+01 ,    -0.660616220514388E+01 ,     0.521091390650983E+00 ,    -0.713375577717521E+01 ,     0.119690361786266E+00 ,    -0.178455916090608E+01 , 
   1.42000 ,    -0.744903263117918E+01 ,    -0.128338290263296E+01 ,    -0.125389581800267E+01 ,    -0.494681271027567E-01 ,    -0.786602110110883E+01 ,    -0.731840209104970E+01 ,    -0.324095991239237E+00 ,    -0.782618610254831E+01 ,    -0.658637187860814E+00 ,    -0.144405153125442E+01 , 
   1.43000 ,    -0.758209575556081E+01 ,    -0.246141409646224E+00 ,    -0.258984255619999E+00 ,     0.187360497325846E-01 ,    -0.807010442708001E+01 ,    -0.755218443750223E+01 ,    -0.104868719334942E+01 ,    -0.800022441197210E+01 ,    -0.132272302468457E+01 ,    -0.112478549055372E+01 , 
   1.44000 ,    -0.721559199748480E+01 ,     0.915930157253588E+00 ,     0.864742933530521E+00 ,     0.826181812586589E-01 ,    -0.772470544596966E+01 ,    -0.727029162398647E+01 ,    -0.147246937204732E+01 ,    -0.762906063152116E+01 ,    -0.170686601282863E+01 ,    -0.907651465808065E+00 , 
   1.45000 ,    -0.644335440445097E+01 ,     0.192840160961273E+01 ,     0.185166319218739E+01 ,     0.127369362804385E+00 ,    -0.691539678016543E+01 ,    -0.654940027385707E+01 ,    -0.148918303968658E+01 ,    -0.680309478547487E+01 ,    -0.171417908521958E+01 ,    -0.847565328317979E+00 , 
   1.46000 ,    -0.544494439615752E+01 ,     0.253377394773443E+01 ,     0.245033092311670E+01 ,     0.141219171943606E+00 ,    -0.582659363925840E+01 ,    -0.556134935424979E+01 ,    -0.109327199124389E+01 ,    -0.570866210443653E+01 ,    -0.134101383929477E+01 ,    -0.959605715166436E+00 , 
   1.47000 ,    -0.444540760465541E+01 ,     0.255801980915540E+01 ,     0.248843234508658E+01 ,     0.118572011232066E+00 ,    -0.470067394517631E+01 ,    -0.453441179739861E+01 ,    -0.381732272816653E+00 ,    -0.458683536777985E+01 ,    -0.678357600600803E+00 ,    -0.121523975221539E+01 , 
   1.48000 ,    -0.366606663686704E+01 ,     0.196036891624651E+01 ,     0.192203424753883E+01 ,     0.619529018286367E-01 ,    -0.378509227415945E+01 ,    -0.370285332728891E+01 ,     0.469522843205160E+00 ,    -0.368106831592055E+01 ,     0.110273608635606E+00 ,    -0.154957255445906E+01 , 
   1.49000 ,    -0.327674788298028E+01 ,     0.852295148580430E+00 ,     0.855237814197083E+00 ,    -0.178611907770644E-01 ,    -0.327870213482091E+01 ,    -0.325550952727627E+01 ,     0.124903110528173E+01 ,    -0.318473612496113E+01 ,     0.829086967845548E+00 ,    -0.187777463935325E+01 , 
   1.50000 ,    -0.335948188074976E+01 ,    -0.521138907306489E+00 ,    -0.476749914732582E+00 ,    -0.103739035617751E+00 ,    -0.328870450281233E+01 ,    -0.329435801058256E+01 ,     0.176219866152223E+01 ,    -0.319966095975441E+01 ,     0.129851424242652E+01 ,    -0.211653052194773E+01 , 
   1.51000 ,    -0.389130176839907E+01 ,    -0.183504188691959E+01 ,    -0.175899797870045E+01 ,    -0.175833037741162E+00 ,    -0.380746108839818E+01 ,    -0.381201707855354E+01 ,     0.187978229670613E+01 ,    -0.371444570291079E+01 ,     0.139996410732338E+01 ,    -0.220509207683138E+01 , 
   1.52000 ,    -0.474976589107259E+01 ,    -0.276180532771499E+01 ,    -0.267151101114620E+01 ,    -0.216196696969370E+00 ,    -0.471425885032397E+01 ,    -0.469314569032846E+01 ,     0.157036804197246E+01 ,    -0.460730771569471E+01 ,     0.110569105679057E+01 ,    -0.212062703916236E+01 , 
   1.53000 ,    -0.574005019416651E+01 ,    -0.305317366787033E+01 ,    -0.296937739191822E+01 ,    -0.213306440210755E+00 ,    -0.580181991925085E+01 ,    -0.573964152139195E+01 ,     0.908695430018832E+00 ,    -0.567293249228764E+01 ,     0.486278335627675E+00 ,    -0.188399721881210E+01 , 
   1.54000 ,    -0.663787027720305E+01 ,    -0.260665134569880E+01 ,    -0.254826849709087E+01 ,    -0.165349014533701E+00 ,    -0.682201369561608E+01 ,    -0.671438426299991E+01 ,     0.576361077915437E-01 ,    -0.666771818503668E+01 ,    -0.306255587400390E+00 ,    -0.155451703315328E+01 , 
   1.55000 ,    -0.723906011824083E+01 ,    -0.149858521562848E+01 ,    -0.147786982765137E+01 ,    -0.813577310515249E-01 ,    -0.754098274622266E+01 ,    -0.739414892085400E+01 ,    -0.771833967687300E+00 ,    -0.736374527111315E+01 ,    -0.107568260295808E+01 ,    -0.121502110118293E+01 , 
   1.56000 ,    -0.740509691171324E+01 ,     0.261222893463968E-01 ,     0.686172240890155E-02 ,     0.202476811635723E-01 ,    -0.779168024094185E+01 ,    -0.762013415077519E+01 ,    -0.137284563727888E+01 ,    -0.759976735577978E+01 ,    -0.163001359213294E+01 ,    -0.951009694491388E+00 , 
   1.57000 ,    -0.709458470170066E+01 ,     0.160718426820341E+01 ,     0.155648364164815E+01 ,     0.115544531275461E+00 ,    -0.751216596966079E+01 ,    -0.733484141441604E+01 ,    -0.159413473169174E+01 ,    -0.731796720462715E+01 ,    -0.182922605126136E+01 ,    -0.829128456171753E+00 , 
   1.58000 ,    -0.637359267690055E+01 ,     0.285361751036035E+01 ,     0.278909448190281E+01 ,     0.180622161977823E+00 ,    -0.676091488243885E+01 ,    -0.659681182336676E+01 ,    -0.137804058026194E+01 ,    -0.657812670913950E+01 ,    -0.162043403133157E+01 ,    -0.880400072751859E+00 , 
   1.59000 ,    -0.540222444269565E+01 ,     0.344009656042659E+01 ,     0.338439221906722E+01 ,     0.197473585343096E+00 ,    -0.570529394981813E+01 ,    -0.556944731716476E+01 ,    -0.775496513193077E+00 ,    -0.554565929278400E+01 ,    -0.105170147717187E+01 ,    -0.109242111293725E+01 , 
   1.60000 ,    -0.439995030526332E+01 ,     0.319128714270472E+01 ,     0.316664234858908E+01 ,     0.158827929007136E+00 ,    -0.458524148049650E+01 ,    -0.448583221940717E+01 ,     0.658465156583551E-01 ,    -0.445565616914577E+01 ,    -0.260931537263040E+00 ,    -0.141247196122659E+01 , 
   1.61000 ,    -0.359696797883843E+01 ,     0.213244652196847E+01 ,     0.215519334790432E+01 ,     0.706529554424376E-01 ,    -0.365976946930052E+01 ,    -0.359690101042599E+01 ,     0.937589047472163E+00 ,    -0.356048007108484E+01 ,     0.557592363137889E+00 ,    -0.176073405149022E+01 , 
   1.62000 ,    -0.318212456379984E+01 ,     0.492101228333468E+00 ,     0.568398228792196E+00 ,    -0.484505796569243E-01 ,    -0.314795587843797E+01 ,    -0.311425090959900E+01 ,     0.162189004735749E+01 ,    -0.307230485739625E+01 ,     0.120089569216887E+01 ,    -0.205026195620722E+01 , 
   1.63000 ,    -0.325897285720821E+01 ,    -0.134598382774166E+01 ,    -0.122211316591260E+01 ,    -0.171022320037827E+00 ,    -0.317764939732135E+01 ,    -0.316043935138782E+01 ,     0.194550896381676E+01 ,    -0.311344159465999E+01 ,     0.150754413761701E+01 ,    -0.220866149473940E+01 , 
   1.64000 ,    -0.382004631119009E+01 ,    -0.293175279861276E+01 ,    -0.277754633458368E+01 ,    -0.266961935155746E+00 ,    -0.375374442083531E+01 ,    -0.373830616405210E+01 ,     0.182322543129642E+01 ,    -0.368590955181304E+01 ,     0.139802181823994E+01 ,    -0.219600730091591E+01 , 
   1.65000 ,    -0.474566188183456E+01 ,    -0.385828161841485E+01 ,    -0.369866081389099E+01 ,    -0.310819206048855E+00 ,    -0.475380627473263E+01 ,    -0.472690892610699E+01 ,     0.127981788989555E+01 ,    -0.466771530074697E+01 ,     0.895206112814842E+00 ,    -0.201449941713986E+01 , 
   1.66000 ,    -0.582825475786125E+01 ,    -0.386525241069935E+01 ,    -0.372731579145466E+01 ,    -0.288421220153422E+00 ,    -0.595285963620282E+01 ,    -0.590585248223875E+01 ,     0.445004348391213E+00 ,    -0.583749702401994E+01 ,     0.119724648586724E+00 ,    -0.170746339409778E+01 , 
   1.67000 ,    -0.681753769051828E+01 ,    -0.291041747634309E+01 ,    -0.281725262054271E+01 ,    -0.201149884190100E+00 ,    -0.707257562381044E+01 ,    -0.700337496838433E+01 ,    -0.477619857580399E+00 ,    -0.692281236363370E+01 ,    -0.738870017779069E+00 ,    -0.134800820404190E+01 , 
   1.68000 ,    -0.747691900017338E+01 ,    -0.118985650119459E+01 ,    -0.115510447224715E+01 ,    -0.666486627106429E-01 ,    -0.784436975625242E+01 ,    -0.775795544510720E+01 ,    -0.126019645692757E+01 ,    -0.766181134839602E+01 ,    -0.146821315366195E+01 ,    -0.102028298910445E+01 , 
   1.69000 ,    -0.763872640738709E+01 ,     0.900248855055246E+00 ,     0.875789339302367E+00 ,     0.844644509101563E-01 ,    -0.807238115609084E+01 ,    -0.797973582221174E+01 ,    -0.170669813775730E+01 ,    -0.786462184128087E+01 ,    -0.188532912815972E+01 ,    -0.798149127944814E+00 , 
   1.70000 ,    -0.724559282407144E+01 ,     0.285338080173628E+01 ,     0.278227221965431E+01 ,     0.215343812709818E+00 ,    -0.768182758529628E+01 ,    -0.759757555271825E+01 ,    -0.170174580915538E+01 ,    -0.746033665290419E+01 ,    -0.188213858201600E+01 ,    -0.726729706337818E+00 , 
   1.71000 ,    -0.636801567654368E+01 ,     0.417396348273040E+01 ,     0.407958673898338E+01 ,     0.291696847428585E+00 ,    -0.674104527821628E+01 ,    -0.668030861514764E+01 ,    -0.124007560409622E+01 ,    -0.651824443572173E+01 ,    -0.145302848815712E+01 ,    -0.811547417267484E+00 , 
   1.72000 ,    -0.519312157413957E+01 ,     0.450145032228495E+01 ,     0.441292197480580E+01 ,     0.290567923220508E+00 ,    -0.545111364174000E+01 ,    -0.542625074402191E+01 ,    -0.429235068995532E+00 ,    -0.523739341381733E+01 ,    -0.697545351130442E+00 ,    -0.101800293626462E+01 , 
