Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
105145.851      937168     4309364  0.109E-02  0.873E-02  0.106E+06  0.971E+00  0.992E+02  0.300E+02
110145.823      940422     4336534  0.110E-02  0.867E-02  0.831E+06  0.976E+00  0.942E+02  0.215E+02
111145.838      943699     4363935  0.109E-02  0.862E-02  0.178E+06  0.100E+01  0.992E+02  0.244E+02
112145.874      946626     4391331  0.107E-02  0.858E-02  0.633E+05  0.981E+00  0.105E+03  0.298E+02
113145.869      949528     4418678  0.105E-02  0.854E-02  0.542E+05  0.989E+00  0.110E+03  0.354E+02
114145.821      952243     4446097  0.103E-02  0.851E-02  0.401E+05  0.101E+01  0.107E+03  0.344E+02
115145.836      955000     4473496  0.102E-02  0.848E-02  0.485E+05  0.100E+01  0.109E+03  0.404E+02
120145.837      958241     4500654  0.103E-02  0.842E-02  0.794E+05  0.999E+00  0.101E+03  0.295E+02
121145.842      961779     4527851  0.105E-02  0.834E-02  0.666E+05  0.995E+00  0.984E+02  0.231E+02
122145.848      964851     4555218  0.103E-02  0.829E-02  0.957E+05  0.101E+01  0.104E+03  0.294E+02
123145.828      967793     4582632  0.102E-02  0.825E-02  0.687E+05  0.101E+01  0.107E+03  0.304E+02
124145.844      970651     4610031  0.100E-02  0.822E-02  0.785E+05  0.101E+01  0.109E+03  0.300E+02
125145.832      973377     4637502  0.981E-03  0.819E-02  0.546E+05  0.104E+01  0.112E+03  0.350E+02
130145.824      976864     4664802  0.100E-02  0.812E-02  0.661E+05  0.103E+01  0.102E+03  0.243E+02
131145.830      979746     4692276  0.990E-03  0.808E-02  0.552E+05  0.100E+01  0.104E+03  0.278E+02
132145.853      982601     4719725  0.979E-03  0.803E-02  0.741E+05  0.104E+01  0.103E+03  0.294E+02
133145.846      985421     4747236  0.964E-03  0.800E-02  0.680E+05  0.103E+01  0.107E+03  0.334E+02
134145.835      988195     4774714  0.951E-03  0.797E-02  0.438E+05  0.104E+01  0.112E+03  0.312E+02
135145.833      990868     4802191  0.935E-03  0.793E-02  0.372E+05  0.106E+01  0.108E+03  0.371E+02
140145.839      993961     4829396  0.943E-03  0.789E-02  0.105E+06  0.105E+01  0.963E+02  0.309E+02
