 Q (1/Ang),Yb-Yb,Yb-Sn,Yb-O ,Sn-Sn,Sn-O ,O-O  
   1.45000 ,    -0.467684452028159E+01 ,     0.263567080601369E+01 ,     0.311120449589714E+00 ,    -0.481239384315005E+01 ,    -0.678091849949673E+00 ,    -0.109193304550449E+01 , 
   1.46000 ,    -0.378552578828296E+01 ,     0.208531558502267E+01 ,     0.202569509652723E+00 ,    -0.383439556709757E+01 ,     0.244652268886544E+00 ,    -0.152136532769344E+01 , 
   1.47000 ,    -0.329139289244000E+01 ,     0.980735010309173E+00 ,     0.412966592573766E-01 ,    -0.324785189708102E+01 ,     0.110736803678582E+01 ,    -0.195909062759508E+01 , 
   1.48000 ,    -0.330487049878529E+01 ,    -0.428944992756509E+00 ,    -0.133704533049427E+00 ,    -0.318708639966645E+01 ,     0.168837231385292E+01 ,    -0.229169394740001E+01 , 
   1.49000 ,    -0.382000802200583E+01 ,    -0.180209514760945E+01 ,    -0.279152447195431E+00 ,    -0.366522841807208E+01 ,     0.183731676162875E+01 ,    -0.243306212998033E+01 , 
   1.50000 ,    -0.471587105512664E+01 ,    -0.278759074064030E+01 ,    -0.358164205562218E+00 ,    -0.457073109287019E+01 ,     0.151398478536667E+01 ,    -0.234656829201026E+01 , 
   1.51000 ,    -0.578378659822626E+01 ,    -0.311494867378619E+01 ,    -0.349601290490628E+00 ,    -0.569226135197366E+01 ,     0.799061344901644E+00 ,    -0.205444516352196E+01 , 
   1.52000 ,    -0.677459395672210E+01 ,    -0.266838723433097E+01 ,    -0.253714080465182E+00 ,    -0.676670352077961E+01 ,    -0.125981915310281E+00 ,    -0.163196826328255E+01 , 
   1.53000 ,    -0.745551932387184E+01 ,    -0.152464152037353E+01 ,    -0.925918969455627E-01 ,    -0.753968355042695E+01 ,    -0.102486656863593E+01 ,    -0.118799081546019E+01 , 
   1.54000 ,    -0.766396524375055E+01 ,     0.571452058258521E-01 ,     0.948183348928163E-01 ,    -0.782495216653014E+01 ,    -0.166671199859391E+01 ,    -0.836882280017197E+00 , 
   1.55000 ,    -0.734596090386996E+01 ,     0.169319047397464E+01 ,     0.262018439953975E+00 ,    -0.754892673572829E+01 ,    -0.188515107654011E+01 ,    -0.669118216677149E+00 , 
   1.56000 ,    -0.657023306379639E+01 ,     0.296781842933764E+01 ,     0.366384343545542E+00 ,    -0.676978570078806E+01 ,    -0.162126130814876E+01 ,    -0.728089529991794E+00 , 
   1.57000 ,    -0.551419190750952E+01 ,     0.353882717147573E+01 ,     0.379925047859799E+00 ,    -0.566612603437436E+01 ,    -0.939280437539744E+00 ,    -0.999067956412606E+00 , 
   1.58000 ,    -0.442444459817158E+01 ,     0.322883312148030E+01 ,     0.296684949816561E+00 ,    -0.449712214551271E+01 ,    -0.109634314482259E-01 ,    -0.141310957596092E+01 , 
   1.59000 ,    -0.356035249662567E+01 ,     0.207837999108507E+01 ,     0.134860458325768E+00 ,    -0.354280688652736E+01 ,     0.927594401350185E+00 ,    -0.186481871168851E+01 , 
   1.60000 ,    -0.313327956927375E+01 ,     0.345400202559858E+00 ,    -0.670423589582050E-01 ,    -0.303797518247455E+01 ,     0.163581757225762E+01 ,    -0.223932975170602E+01 , 
   1.61000 ,    -0.325553609042733E+01 ,    -0.155122940064421E+01 ,    -0.259228281006442E+00 ,    -0.311509371805566E+01 ,     0.193004706022034E+01 ,    -0.244151408313264E+01 , 
   1.62000 ,    -0.391119639363128E+01 ,    -0.313200402486153E+01 ,    -0.392729566853628E+00 ,    -0.376994566095520E+01 ,     0.173085952409090E+01 ,    -0.241988675809928E+01 , 
   1.63000 ,    -0.495626947369635E+01 ,    -0.397714918192832E+01 ,    -0.431710471273782E+00 ,    -0.485881295761178E+01 ,     0.108418860138958E+01 ,    -0.217910401479945E+01 , 
   1.64000 ,    -0.614910728021987E+01 ,    -0.383701880066286E+01 ,    -0.362914590454726E+00 ,    -0.612884063981502E+01 ,     0.150710326038634E+00 ,    -0.177793447991850E+01 , 
   1.65000 ,    -0.720490345178939E+01 ,    -0.270379285670490E+01 ,    -0.199815203422967E+00 ,    -0.727543930932679E+01 ,    -0.834029376061613E+00 ,    -0.131337231674785E+01 , 
   1.66000 ,    -0.786227965639085E+01 ,    -0.824403870298116E+00 ,     0.197496055293377E-01 ,    -0.801397203237424E+01 ,    -0.161884034365406E+01 ,    -0.895153771009593E+00 , 
   1.67000 ,    -0.794668386646051E+01 ,     0.135121803359012E+01 ,     0.242115217041474E+00 ,    -0.814913899476333E+01 ,    -0.200060361770543E+01 ,    -0.617405066585137E+00 , 
   1.68000 ,    -0.741549781168576E+01 ,     0.327623046943057E+01 ,     0.410629420669203E+00 ,    -0.762542253196506E+01 ,    -0.187638407089999E+01 ,    -0.534849324400443E+00 , 
   1.69000 ,    -0.637346612183576E+01 ,     0.444263472839840E+01 ,     0.479789233372173E+00 ,    -0.654583895841242E+01 ,    -0.127067209315508E+01 ,    -0.649753976359102E+00 , 
   1.70000 ,    -0.505359293219544E+01 ,     0.451339981403039E+01 ,     0.427230767007931E+00 ,    -0.515329337843428E+01 ,    -0.330668624406070E+00 ,    -0.912936896516027E+00 , 
   1.71000 ,    -0.376659182868099E+01 ,     0.341709708561932E+01 ,     0.260505378544889E+00 ,    -0.377750569550013E+01 ,     0.709473870165782E+00 ,    -0.123842109837600E+01 , 
