r (Ang), PDF (RMC), PDF (Expt)
  0.350000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.360000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.370000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.380000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.390000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.400000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.410000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.420000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.430000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.440000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.450000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.460000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.470000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.480000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.490000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.500000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.510000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.520000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.530000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.540000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.550000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.560000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.570000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.580000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.590000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.600000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.610000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.620000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.630000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.640000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.650000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.660000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.670000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.680000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.690000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.700000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.710000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.720000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.730000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.740000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.750000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.760000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.770000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.780000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.790000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.800000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.810000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.820000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.830000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
