 Q (1/Ang),Yb-Yb,Yb-Ti,Yb-O ,Ti-Ti,Ti-O ,O-O  
   1.98000 ,    -0.110297470689887E+02 ,     0.864125673244602E+01 ,     0.127829312790383E+01 ,    -0.119163602069486E+02 ,    -0.299470251281006E+01 ,    -0.119585173006161E+01 , 
   1.99000 ,    -0.940798438692263E+01 ,     0.110870916768949E+02 ,     0.145096729864103E+01 ,    -0.101558943285399E+02 ,    -0.240962456513486E+01 ,    -0.154802496929975E+01 , 
   2.00000 ,    -0.630124553920814E+01 ,     0.109098033876214E+02 ,     0.122003453306434E+01 ,    -0.680803014820998E+01 ,    -0.120143601374213E+01 ,    -0.187153913662422E+01 , 
   2.01000 ,    -0.199062614763639E+01 ,     0.755841799791602E+01 ,     0.505662093435791E+00 ,    -0.217971710310234E+01 ,     0.478583517176569E+00 ,    -0.205172670185860E+01 , 
   2.02000 ,     0.304230891785723E+01 ,     0.104332444126711E+01 ,    -0.696188886393263E+00 ,     0.320811063461279E+01 ,     0.240220442409888E+01 ,    -0.199530836815601E+01 , 
   2.03000 ,     0.820241833679600E+01 ,    -0.801065782765232E+01 ,    -0.230223930272887E+01 ,     0.871498456011795E+01 ,     0.430906533106236E+01 ,    -0.165615499499284E+01 , 
   2.04000 ,     0.128910087899423E+02 ,    -0.184274906835332E+02 ,    -0.414604770639868E+01 ,     0.137000921549496E+02 ,     0.595480719075761E+01 ,    -0.105158457325869E+01 , 
   2.05000 ,     0.166171472971314E+02 ,    -0.286525249062040E+02 ,    -0.599854072766600E+01 ,     0.176424887004987E+02 ,     0.715231616486189E+01 ,    -0.264616309336966E+00 , 
   2.06000 ,     0.190877215514595E+02 ,    -0.370056993864450E+02 ,    -0.760237066593050E+01 ,     0.202378563144993E+02 ,     0.779803586799383E+01 ,     0.569273729703024E+00 , 
   2.07000 ,     0.202576605584707E+02 ,    -0.419699277052197E+02 ,    -0.871457996785348E+01 ,     0.214516406605137E+02 ,     0.787917766842946E+01 ,     0.128872730301456E+01 , 
   2.08000 ,     0.203296042745080E+02 ,    -0.424614311070754E+02 ,    -0.914998332498592E+01 ,     0.215169867715670E+02 ,     0.746224550513899E+01 ,     0.174096012478086E+01 , 
   2.09000 ,     0.197025542286538E+02 ,    -0.380313623645572E+02 ,    -0.881700014255381E+01 ,     0.208770843507459E+02 ,     0.666748599525234E+01 ,     0.181650768224346E+01 , 
   2.10000 ,     0.188795671065906E+02 ,    -0.289605987384884E+02 ,    -0.773861281212144E+01 ,     0.200830511241819E+02 ,     0.563669993561428E+01 ,     0.147621927092728E+01 , 
   2.11000 ,     0.183531920853665E+02 ,    -0.162295605184051E+02 ,    -0.605359775367492E+01 ,     0.196679438261360E+02 ,     0.450269986158455E+01 ,     0.763877706669019E+00 , 
   2.12000 ,     0.184922773406373E+02 ,    -0.136833095862903E+01 ,    -0.399676357370529E+01 ,     0.200228820124401E+02 ,     0.336746589527425E+01 ,    -0.199148885568080E+00 , 
   2.13000 ,     0.194538987888756E+02 ,     0.137854491992002E+02 ,    -0.186096746800723E+01 ,     0.213013964754893E+02 ,     0.229314854222041E+01 ,    -0.123682433218762E+01 , 
   2.14000 ,     0.211393884612695E+02 ,     0.273768176524997E+02 ,     0.526281243475677E-01 ,     0.233728380404237E+02 ,     0.130630129013760E+01 ,    -0.215447113811265E+01 , 
   2.15000 ,     0.232046671163669E+02 ,     0.378198702750784E+02 ,     0.148701763559200E+01 ,     0.258359872929826E+02 ,     0.412095477437651E+00 ,    -0.278026065413581E+01 , 
   2.16000 ,     0.251240602739650E+02 ,     0.440304686614300E+02 ,     0.227460169193192E+01 ,     0.280918063271791E+02 ,    -0.387291400350418E+00 ,    -0.300297949114618E+01 , 
   2.17000 ,     0.262957312731190E+02 ,     0.455669729430862E+02 ,     0.236634817076011E+01 ,     0.294620348148669E+02 ,    -0.107677790301916E+01 ,    -0.279740355981506E+01 , 
   2.18000 ,     0.261680644749352E+02 ,     0.426589869196042E+02 ,     0.183886364690593E+01 ,     0.293305680770722E+02 ,    -0.162059934140352E+01 ,    -0.223113999345847E+01 , 
   2.19000 ,     0.243616079613092E+02 ,     0.361253384105642E+02 ,     0.877559108368594E+00 ,     0.272793084387392E+02 ,    -0.196565606551389E+01 ,    -0.145082049658604E+01 , 
   2.20000 ,     0.207615551195727E+02 ,     0.272024364127515E+02 ,    -0.261207468635584E+00 ,     0.231906003998767E+02 ,    -0.205551558719060E+01 ,    -0.650170488578530E+00 , 
   2.21000 ,     0.155611950811728E+02 ,     0.173189420602971E+02 ,    -0.130185320479387E+01 ,     0.172944490288955E+02 ,    -0.185119232712949E+01 ,    -0.266908476049056E-01 , 
   2.22000 ,     0.924624427586236E+01 ,     0.785977487115089E+01 ,    -0.200503305618163E+01 ,     0.101493263897108E+02 ,    -0.135243553008643E+01 ,     0.263505842698348E+00 , 
   2.23000 ,     0.252160853657675E+01 ,    -0.390464331509118E-01 ,    -0.221571748955184E+01 ,     0.255840696649412E+01 ,    -0.612547458502515E+00 ,     0.142450012340426E+00 , 
   2.24000 ,    -0.380640932378205E+01 ,    -0.563246591218539E+01 ,    -0.189399634137324E+01 ,    -0.456406080776111E+01 ,     0.259022281266719E+00 ,    -0.369987744688869E+00 , 
   2.25000 ,    -0.897045245994562E+01 ,    -0.862764962083719E+01 ,    -0.112202014352694E+01 ,    -0.103514332512719E+02 ,     0.110915444754219E+01 ,    -0.115847791103627E+01 , 
