Time       moves_acc moves_gen     G(r)_1     S(Q)_1     Bragg   Tail_fine  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
064104.884     1865310    13705024  0.127E-02  0.272E-02  0.290E-01  0.134E+06  0.189E+01
065104.855     1875452    13814683  0.126E-02  0.269E-02  0.290E-01  0.353E+06  0.194E+01
070104.884     1885512    13923167  0.124E-02  0.266E-02  0.290E-01  0.112E+06  0.180E+01
071104.863     1895663    14034035  0.124E-02  0.262E-02  0.290E-01  0.849E+05  0.184E+01
072105.064     1905776    14143576  0.105E-02  0.209E-02  0.290E-01  0.911E+05  0.194E+01
073104.880     1915738    14252746  0.122E-02  0.256E-02  0.290E-01  0.133E+06  0.189E+01
074104.877     1925595    14361906  0.121E-02  0.253E-02  0.290E-01  0.968E+05  0.198E+01
075104.884     1935324    14470035  0.120E-02  0.250E-02  0.290E-01  0.137E+06  0.172E+01
080104.865     1945246    14579567  0.119E-02  0.247E-02  0.290E-01  0.967E+05  0.183E+01
081104.890     1955233    14688615  0.117E-02  0.245E-02  0.290E-01  0.253E+06  0.193E+01
082104.877     1965184    14797852  0.117E-02  0.242E-02  0.290E-01  0.903E+05  0.185E+01
083104.879     1975144    14907863  0.116E-02  0.239E-02  0.290E-01  0.113E+06  0.213E+01
084104.877     1984736    15016494  0.115E-02  0.237E-02  0.290E-01  0.897E+05  0.175E+01
085104.882     1994610    15124598  0.115E-02  0.234E-02  0.290E-01  0.130E+06  0.173E+01
090104.889     2004493    15233587  0.114E-02  0.231E-02  0.290E-01  0.103E+06  0.201E+01
091104.869     2014518    15342968  0.113E-02  0.228E-02  0.290E-01  0.122E+06  0.220E+01
092104.857     2024426    15453525  0.112E-02  0.225E-02  0.290E-01  0.800E+05  0.187E+01
093104.874     2034357    15563185  0.111E-02  0.223E-02  0.290E-01  0.126E+06  0.191E+01
094105.164     2044226    15672490  0.116E-02  0.238E-02  0.290E-01  0.888E+05  0.170E+01
095104.856     2054040    15782338  0.110E-02  0.218E-02  0.290E-01  0.111E+06  0.178E+01
100104.984     2063896    15891453  0.138E-02  0.273E-02  0.290E-01  0.971E+05  0.182E+01
101104.883     2073762    16001194  0.108E-02  0.213E-02  0.290E-01  0.947E+05  0.208E+01
102104.881     2083434    16109315  0.107E-02  0.211E-02  0.290E-01  0.123E+06  0.223E+01
103104.888     2093205    16218504  0.107E-02  0.208E-02  0.290E-01  0.904E+05  0.223E+01
104104.885     2102974    16328059  0.106E-02  0.206E-02  0.290E-01  0.973E+05  0.158E+01
105104.880     2112571    16436249  0.105E-02  0.204E-02  0.290E-01  0.798E+05  0.206E+01
110104.874     2122312    16545850  0.104E-02  0.201E-02  0.290E-01  0.959E+05  0.187E+01
111104.885     2131969    16654250  0.103E-02  0.199E-02  0.290E-01  0.843E+05  0.200E+01
112104.883     2141739    16763939  0.103E-02  0.197E-02  0.290E-01  0.120E+06  0.179E+01
113104.854     2151420    16872497  0.102E-02  0.195E-02  0.290E-01  0.694E+05  0.178E+01
114105.139     2160965    16980361  0.849E-03  0.174E-02  0.290E-01  0.883E+05  0.172E+01
115104.877     2170513    17089584  0.101E-02  0.191E-02  0.290E-01  0.725E+05  0.160E+01
120104.890     2180202    17198870  0.101E-02  0.188E-02  0.290E-01  0.723E+05  0.172E+01
