Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01
032156.537     1492597     6408332  0.720E-03  0.204E-02  0.594E+03  0.197E+02
033156.544     1500688     6472058  0.719E-03  0.200E-02  0.595E+03  0.202E+02
034156.527     1508855     6535923  0.721E-03  0.196E-02  0.617E+03  0.207E+02
035156.549     1516884     6599560  0.722E-03  0.192E-02  0.538E+03  0.238E+02
040156.540     1524958     6663341  0.725E-03  0.188E-02  0.371E+03  0.212E+02
041156.510     1533335     6727353  0.724E-03  0.184E-02  0.491E+03  0.230E+02
042156.520     1541356     6791177  0.725E-03  0.180E-02  0.264E+03  0.165E+02
043156.536     1549217     6854847  0.727E-03  0.177E-02  0.542E+03  0.180E+02
044156.528     1557217     6918457  0.728E-03  0.173E-02  0.429E+03  0.180E+02
045156.546     1565046     6982348  0.730E-03  0.170E-02  0.449E+03  0.179E+02
050156.549     1572887     7046460  0.730E-03  0.167E-02  0.708E+03  0.187E+02
051156.550     1580577     7110204  0.733E-03  0.163E-02  0.354E+03  0.173E+02
052156.550     1588328     7173756  0.736E-03  0.160E-02  0.917E+03  0.180E+02
053156.535     1595910     7237567  0.734E-03  0.157E-02  0.465E+03  0.175E+02
054156.558     1603432     7301238  0.737E-03  0.154E-02  0.513E+03  0.168E+02
055156.528     1611141     7365068  0.740E-03  0.151E-02  0.538E+03  0.151E+02
060156.539     1618530     7428642  0.740E-03  0.149E-02  0.419E+03  0.143E+02
061156.548     1625768     7492483  0.745E-03  0.146E-02  0.416E+03  0.145E+02
062156.550     1633367     7556229  0.744E-03  0.143E-02  0.365E+03  0.147E+02
063156.543     1640915     7619892  0.748E-03  0.141E-02  0.497E+03  0.141E+02
064156.544     1648373     7683439  0.748E-03  0.138E-02  0.418E+03  0.147E+02
065156.540     1655930     7747315  0.753E-03  0.136E-02  0.535E+03  0.137E+02
070156.548     1663279     7811029  0.755E-03  0.133E-02  0.759E+03  0.141E+02
071156.520     1670806     7874437  0.758E-03  0.131E-02  0.814E+03  0.125E+02
072156.537     1678262     7938209  0.762E-03  0.129E-02  0.394E+03  0.130E+02
073156.559     1685631     8002112  0.764E-03  0.126E-02  0.731E+03  0.128E+02
074156.547     1692945     8065455  0.768E-03  0.124E-02  0.531E+03  0.123E+02
075156.545     1700093     8129247  0.768E-03  0.122E-02  0.568E+03  0.116E+02
