 Q (1/Ang),Yb-Yb,Yb-Ti,Yb-Sn,Yb-O ,Ti-Ti,Ti-Sn,Ti-O ,Sn-Sn,Sn-O ,O-O  
   1.16000 ,    -0.119942112094053E+02 ,     0.446592718885290E+01 ,     0.499602158081194E+01 ,     0.575949059877325E+00 ,    -0.120245745853055E+02 ,    -0.124926061391931E+02 ,     0.486864818507517E+00 ,    -0.129845960522328E+02 ,     0.656185782336751E+00 ,    -0.204135243516328E+01 , 
   1.17000 ,    -0.134779099489739E+02 ,     0.538536865022640E+01 ,     0.577845649995466E+01 ,     0.664138839868556E+00 ,    -0.136153544720627E+02 ,    -0.139660475796696E+02 ,    -0.168864490282849E+00 ,    -0.143145127757979E+02 ,    -0.149137232146507E+00 ,    -0.182734954939348E+01 , 
   1.18000 ,    -0.129426157477496E+02 ,     0.495976393761605E+01 ,     0.521314102059276E+01 ,     0.596150304285952E+00 ,    -0.131723093024871E+02 ,    -0.133747299741362E+02 ,    -0.787831115023409E+00 ,    -0.135928897790048E+02 ,    -0.922812305157228E+00 ,    -0.152675471105179E+01 , 
   1.19000 ,    -0.109131561514541E+02 ,     0.369590609862362E+01 ,     0.382996613964039E+01 ,     0.425649093492496E+00 ,    -0.112070241362905E+02 ,    -0.112580067494520E+02 ,    -0.125004719528892E+01 ,    -0.113750042992248E+02 ,    -0.152088339707032E+01 ,    -0.121908886802222E+01 , 
   1.20000 ,    -0.806571225209341E+01 ,     0.209096029049918E+01 ,     0.214333992524184E+01 ,     0.210675276775495E+00 ,    -0.838517293150647E+01 ,    -0.830874400775529E+01 ,    -0.145382392153475E+01 ,    -0.835885526680898E+01 ,    -0.182323116093311E+01 ,    -0.983192349817256E+00 , 
   1.21000 ,    -0.510041150067646E+01 ,     0.547747728310062E+00 ,     0.564387069580460E+00 ,     0.318775064934082E-02 ,    -0.540203780984362E+01 ,    -0.524392955101751E+01 ,    -0.134526687572969E+01 ,    -0.525522252069874E+01 ,    -0.176614183183821E+01 ,    -0.877926798237358E+00 , 
   1.22000 ,    -0.262277136839315E+01 ,    -0.672142436187151E+00 ,    -0.646842893201327E+00 ,    -0.158522156857329E+00 ,    -0.286585175798322E+01 ,    -0.268439074381344E+01 ,    -0.937065683619976E+00 ,    -0.266954962935357E+01 ,    -0.136218418340353E+01 ,    -0.928092212510332E+00 , 
   1.23000 ,    -0.105345584150731E+01 ,    -0.145517129391800E+01 ,    -0.138686686439339E+01 ,    -0.253604779458842E+00 ,    -0.120782703426856E+01 ,    -0.106305293491098E+01 ,    -0.310994319475197E+00 ,    -0.101465400387342E+01 ,    -0.701738567404337E+00 ,    -0.111894395117473E+01 , 
   1.24000 ,    -0.579302625253023E+00 ,    -0.180979219664725E+01 ,    -0.167961710784322E+01 ,    -0.278553579761805E+00 ,    -0.631614479778532E+00 ,    -0.574671161373598E+00 ,     0.397320036625817E+00 ,    -0.466225855173497E+00 ,     0.648949188204988E-01 ,    -0.140054481680323E+01 , 
   1.25000 ,    -0.115029575811027E+01 ,    -0.182107613263331E+01 ,    -0.162704995012936E+01 ,    -0.243944309666739E+00 ,    -0.110711641518218E+01 ,    -0.117176095374130E+01 ,     0.102819396692381E+01 ,    -0.964524472589256E+00 ,     0.760942293324842E+00 ,    -0.170075538182194E+01 , 
   1.26000 ,    -0.251869771536584E+01 ,    -0.160171025276431E+01 ,    -0.135620666024431E+01 ,    -0.169233262029925E+00 ,    -0.240553271942156E+01 ,    -0.260309593662769E+01 ,     0.143519903009986E+01 ,    -0.225726347541697E+01 ,     0.122424571059682E+01 ,    -0.194355167257272E+01 , 
   1.27000 ,    -0.430943156607313E+01 ,    -0.125294023847269E+01 ,    -0.977214355339520E+00 ,    -0.770138656555642E-01 ,    -0.416566217545867E+01 ,    -0.448408833126022E+01 ,     0.152078469282609E+01 ,    -0.397188183095796E+01 ,     0.134597787372569E+01 ,    -0.206808042323756E+01 , 
   1.28000 ,    -0.610618073769652E+01 ,    -0.843705705408010E+00 ,    -0.561094582009564E+00 ,     0.120159341047824E-01 ,    -0.597690026796594E+01 ,    -0.638373804898109E+01 ,     0.126117365697797E+01 ,    -0.570129476073045E+01 ,     0.109734119720326E+01 ,    -0.204372607223934E+01 , 
   1.29000 ,    -0.753618300047094E+01 ,    -0.409455360069271E+00 ,    -0.139054627397358E+00 ,     0.825147284696288E-01 ,    -0.746268453303320E+01 ,    -0.791123519167847E+01 ,     0.713962538549920E+00 ,    -0.708630671144302E+01 ,     0.537417075652595E+00 ,    -0.187749460304940E+01 , 
   1.30000 ,    -0.833836427132109E+01 ,     0.341012763101934E-01 ,     0.281744851610804E+00 ,     0.126038010292027E+00 ,    -0.834941013292413E+01 ,    -0.878676956638513E+01 ,     0.605000530856615E-02 ,    -0.788003507807991E+01 ,    -0.200113959136757E+00 ,    -0.161195378286977E+01 , 
   1.31000 ,    -0.840375157182118E+01 ,     0.471084840367314E+00 ,     0.695350791699966E+00 ,     0.140804547146462E+00 ,    -0.850962994806054E+01 ,    -0.888515088965570E+01 ,    -0.695613441630412E+00 ,    -0.798428895726888E+01 ,    -0.938473019733326E+00 ,    -0.131432316196811E+01 , 
   1.32000 ,    -0.778306138701459E+01 ,     0.869065813629241E+00 ,     0.107760783615170E+01 ,     0.130201858306260E+00 ,    -0.797382520692036E+01 ,    -0.824658272684764E+01 ,    -0.122362312943680E+01 ,    -0.745384770925914E+01 ,    -0.150006280233051E+01 ,    -0.105949619060065E+01 , 
   1.33000 ,    -0.666279264117620E+01 ,     0.117366947549576E+01 ,     0.137842548100952E+01 ,     0.100714173536438E+00 ,    -0.691111726030969E+01 ,    -0.705524761944873E+01 ,    -0.145053046236848E+01 ,    -0.647080389567266E+01 ,    -0.174933854575591E+01 ,    -0.911261387938055E+00 , 
   1.34000 ,    -0.531687478297285E+01 ,     0.131712845774755E+01 ,     0.152925569999872E+01 ,     0.599214072185941E-01 ,    -0.558488913225030E+01 ,    -0.559211669738082E+01 ,    -0.132015972721186E+01 ,    -0.529644899915320E+01 ,    -0.162582098563028E+01 ,    -0.906407369439663E+00 , 
   1.35000 ,    -0.404495104249015E+01 ,     0.123845614349084E+01 ,     0.146367137961477E+01 ,     0.150219383199790E-01 ,    -0.429345139465902E+01 ,    -0.417263157598008E+01 ,    -0.862010839881079E+00 ,    -0.421171433280244E+01 ,    -0.115911385105531E+01 ,    -0.104565102940828E+01 , 
   1.36000 ,    -0.311010002870982E+01 ,     0.908470016717683E+00 ,     0.114409809078455E+01 ,    -0.279445532266449E-01 ,    -0.330797725905822E+01 ,    -0.308197605014966E+01 ,    -0.184981302426773E+00 ,    -0.345844162834730E+01 ,    -0.462123182857908E+00 ,    -0.129361057720840E+01 , 
   1.37000 ,    -0.268804978665451E+01 ,     0.350644702374008E+00 ,     0.585169802592097E+00 ,    -0.642642005907563E-01 ,    -0.281969517240123E+01 ,    -0.252032296262609E+01 ,     0.548320375474872E+00 ,    -0.319269152276413E+01 ,     0.296019449828444E+00 ,    -0.158778594738958E+01 , 
   1.38000 ,    -0.283700190065758E+01 ,    -0.350589896190088E+00 ,    -0.135374555290347E+00 ,    -0.903754750675946E-01 ,    -0.290592590197559E+01 ,    -0.256789364956518E+01 ,     0.116061130038360E+01 ,    -0.345825845869932E+01 ,     0.930852104440673E+00 ,    -0.185427056211183E+01 , 
   1.39000 ,    -0.349271840743437E+01 ,    -0.105912187387279E+01 ,    -0.883971454439336E+00 ,    -0.103674827351836E+00 ,    -0.352051466346354E+01 ,    -0.317546084862428E+01 ,     0.150291567666770E+01 ,    -0.418422250958334E+01 ,     0.128739757546576E+01 ,    -0.202625494775029E+01 , 
   1.40000 ,    -0.448842936770380E+01 ,    -0.161386515300594E+01 ,    -0.149707567585028E+01 ,    -0.102542773386859E+00 ,    -0.450933025021424E+01 ,    -0.418088072973400E+01 ,     0.149101979524880E+01 ,    -0.520559052243348E+01 ,     0.127798416461374E+01 ,    -0.206070398151750E+01 , 
   1.41000 ,    -0.559436182894301E+01 ,    -0.186730353592391E+01 ,    -0.182018060010170E+01 ,    -0.866648294178307E-01 ,    -0.564669537508713E+01 ,    -0.534729136020709E+01 ,     0.112642795210695E+01 ,    -0.630174456820864E+01 ,     0.903809589186400E+00 ,    -0.194905985246664E+01 , 
   1.42000 ,    -0.656813581044316E+01 ,    -0.172610188371987E+01 ,    -0.175010299927839E+01 ,    -0.575315121590580E-01 ,    -0.668474916225931E+01 ,    -0.641465345277577E+01 ,     0.496563953310858E+00 ,    -0.724428321259568E+01 ,     0.254913623379272E+00 ,    -0.171932137561136E+01 , 
   1.43000 ,    -0.720553184497032E+01 ,    -0.118241238552979E+01 ,    -0.126870501454504E+01 ,    -0.188579577280829E-01 ,    -0.740550798521409E+01 ,    -0.715402836145030E+01 ,    -0.245997565082509E+00 ,    -0.784442121670035E+01 ,    -0.511522391407334E+00 ,    -0.142900211831730E+01 , 
   1.44000 ,    -0.738146728309911E+01 ,    -0.326064252678294E+00 ,    -0.457599707478874E+00 ,     0.233803368067410E-01 ,    -0.766516223095497E+01 ,    -0.741376868220353E+01 ,    -0.920352265749333E+00 ,    -0.799059350025107E+01 ,    -0.120933492194571E+01 ,    -0.115073929243190E+01 , 
   1.45000 ,    -0.707329635250270E+01 ,     0.667717722705567E+00 ,     0.512172412858044E+00 ,     0.615230781960068E-01 ,    -0.742193081449681E+01 ,    -0.714864228394284E+01 ,    -0.136125469807257E+01 ,    -0.766913424192033E+01 ,    -0.166873922460141E+01 ,    -0.954149313879188E+00 , 
